treat,debt,lopen,lrer,bndvol,gdpgvol,pivol,spreadvol
0,23,83.1,93.4,0.3,5.7,1.7,1
0,42.3,86.9,100,0.7,3.1,1.1,0.6
0,42.8,88.7,106.2,0.5,1.5,1.5,0.9
0,42,87.7,105.7,0.3,1.4,0.6,1.3
0,42,83.1,106.9,0.7,1.4,0.1,0.6
1,96.5,85.8,100.9,0.6,0.8,0.6,0.3
1,52.2,86.4,94.1,0.6,0.8,0.6,0.3
1,43.1,49.1,114.7,0.2,0.5,0.3,1.5
1,43.1,49.1,114.7,0.2,0.5,0.3,1.5
1,43.1,51.8,117.9,0.2,0.7,0.3,1.1
0,38.8,52,115.3,0.2,0.5,0.1,0.7
0,39.4,50.6,116.3,0.2,0.6,0.1,0.3
0,39.4,49.6,113.2,0.2,0.5,0.4,0.4
0,42.7,49.7,119.8,0.2,0.3,0.5,0.2
0,44.5,52.1,119.5,0.3,0.3,0.2,0.3
0,44.1,56,121.5,0.3,1.8,0.7,0.7
0,45.1,52.3,125.7,0.7,3.4,0.8,2.5
0,55.7,56.8,110.1,0.6,3.1,0.7,1.9
0,70,54.7,96.5,0.3,3.5,1.1,1.1
0,83.4,59.2,100,0.9,0.3,0.8,0.5
0,97.2,62.7,101.5,0.6,0.3,1,0.8
0,101.5,61.8,106.8,0.3,0.9,0.7,1.5
0,97.5,61.8,105.8,0.3,0.6,1.2,1
0,108.6,58.1,113.7,0.6,0.5,0.7,0.4
0,107.6,56.9,121.8,0.6,0.5,0.7,0.4
0,59.5,69.8,130,0.6,0.4,0.7,1
0,59.5,69.8,130,0.6,0.4,0.7,1
0,58.8,71.8,133.3,0.1,2.3,0.7,1.2
0,60.9,75.5,116.7,0.5,1.8,2.1,0.6
0,57,70.3,124,0.7,4,1.5,0.4
0,55,69,131.8,0.4,2.9,0.9,0.4
0,48.7,70.8,135.9,0.3,1.6,1.8,0.5
0,38.5,73.1,152.8,0.6,2.2,1.3,0.1
0,43.3,79.4,142.1,0.4,3.9,3.7,0.8
0,41.2,75.9,149.9,0.4,8.1,3.9,2.1
0,79.1,84.7,117.8,0.5,4.3,3.7,1.5
0,99,90.4,95.2,0.7,4.5,4,0.7
0,105.7,97.1,100,0.6,3,0.7,0.6
0,113,105.2,101.4,0.3,1.7,0.7,0.8
0,112.3,108,101,0.5,1.7,1.5,1.6
0,52.2,102.9,105.7,0.3,1.4,1.2,1.3
0,94.5,100.3,112.7,0.3,2.7,0.2,0.6
0,107.6,99.9,115.3,0.3,2.7,0.2,0.6
0,6.7,70,89.9,0.6,0.7,0,1.1
0,6.7,70,89.9,0.6,0.7,0,1.1
0,23.1,74.6,87.7,0,0.9,1,1.3
0,19.6,73.3,90.7,1.1,0.6,0.9,0.7
0,28.1,67.6,98.5,1.4,1.6,1,1
0,36.3,66.6,97.3,0.6,1.5,1,0.4
0,38.3,69,93.7,0.3,0.8,0.9,0.4
0,35.4,70.9,97.3,0.8,0.3,0.8,0.2
0,48.2,72.4,97.2,0.4,1.3,1.5,0.6
0,44.9,73.2,97.7,0.8,2.3,1.5,2.6
0,43.5,74.9,97.8,0.8,1.2,0.8,2
0,35.3,67.1,95.2,0.4,1.4,0.6,1
1,35.1,68.4,100,0.6,1.1,0.8,0.7
1,20.3,69.8,100.6,0.5,1,0.7,0.8
1,20.8,68.3,100.3,0.2,0.9,0.8,1.3
1,20.9,67.7,98.9,0.5,0.5,0.1,0.8
1,55.2,68.8,94,0.5,0.6,0.8,0.4
1,72.5,69.3,86.3,0.5,0.6,0.8,0.4
1,23.5,90.1,91.9,0,1.4,0.3,1.6
1,23.5,90.1,91.9,0,1.4,0.3,1.6
1,26.4,98.2,89.3,0.7,1.9,0.4,0.8
0,25.3,96.2,91.6,0.6,0.8,0.2,0.6
0,30.5,91.2,94.9,0.2,1.6,0.1,0.5
0,29.5,89.8,95.1,0.4,1.7,0.3,0.2
0,30,94.1,94.1,0.3,0.6,0.2,0.3
0,30.1,100.6,93,0.6,0.6,0.2,0.1
0,26.5,104.9,90.8,0.5,1,0.9,1
0,26,111.9,87,0.6,3.2,1.4,2.3
0,25.4,115.4,91,0.2,2.8,1.4,1.5
0,23.8,107.3,94.5,0.6,2.7,0.6,0.7
0,23.2,117.8,100,0.6,1,0.7,0.5
0,23.1,123.1,109.8,0.4,0.4,0.5,1.2
0,23.3,124.2,106.5,0.5,0.5,0.3,1.2
0,22.2,132.5,104.5,0.7,0.6,0.6,0.6
0,22.7,117.9,104.9,0.3,0.7,0.6,0.6
0,23,114.1,113.3,0.3,0.7,0.6,0.6
